Item,CitationFlow,TrustFlow,TopicalTrustFlow_Topic_0,TopicalTrustFlow_Value_0,TopicalTrustFlow_Topic_1,TopicalTrustFlow_Value_1,TopicalTrustFlow_Topic_2,TopicalTrustFlow_Value_2,TopicalTrustFlow_Topic_3,TopicalTrustFlow_Value_3,TopicalTrustFlow_Topic_4,TopicalTrustFlow_Value_4,TopicalTrustFlow_Topic_5,TopicalTrustFlow_Value_5,TopicalTrustFlow_Topic_6,TopicalTrustFlow_Value_6,TopicalTrustFlow_Topic_7,TopicalTrustFlow_Value_7,TopicalTrustFlow_Topic_8,TopicalTrustFlow_Value_8,TopicalTrustFlow_Topic_9,TopicalTrustFlow_Value_9,Crawled,LastCrawlDate,LastCrawlResult,Redirect,FinalRedirectResult,OutLinksPages,OutLinksInternal,OutLinksExternal,OutDomainsExternal,LastSeen,Title,RedirectTo,Language,LanguageDesc,LanguageConfidence,LanguagePageRatios,RefLanguage,RefLanguageDesc,RefLanguageConfidence,RefLanguagePageRatios,CrawledURLs,RootDomainIPAddress,TotalNonUniqueLinks,NonUniqueLinkTypeLive,NonUniqueLinkTypeDeleted,NonUniqueLinkTypeDeepLinks,NonUniqueLinkTypeHomepages,NonUniqueLinkTypeDirect,NonUniqueLinkTypeIndirect,NonUniqueLinkTypeFollow,NonUniqueLinkTypeNoFollow,NonUniqueLinkTypeHTTP,NonUniqueLinkTypeHTTPS,NonUniqueLinkTypeRedirects,NonUniqueLinkTypeTextLinks,NonUniqueLinkTypeImages,NonUniqueLinkTypeFrames,RefDomainTypeLive,RefDomainTypeFollow,RefDomainTypeHomepage,RefDomainTypeDirect,RefDomainTypeProtocolHTTPS
https://www.enkopings-musikklubb.com,,38,Regional / Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.maklarkonsult.se/,,38,Regional / Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://sgsresa.nu,,38,Recreation / Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://adius.se/,,38,Recreation / Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlmeidaCartoons.com,,38,Business / Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.catron.se,,38,Business / Arts and Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://improva-kc.se/,,36,Health / Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schemaanalys.se/,,36,Computers / Software / Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://geraldsson.nu/,,36,Arts / Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citadellresor.se/,,35,Regional / Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://aerius.se/,,35,Computers / Software / Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://movlin.se/,,35,Computers / Consultants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qvarnarp.com,,34,home improvement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://caporama.se/,,34,Home / Gardening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://reklamkampanj.se/,,33,Computers / Software / Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idraetsfonden.dk,21.0,31,Sports/Organizations,31.0,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,17.0,3.0,0.0,0.0,,"Idræt S. Fonden - Blog om sport, sundhed og meget andet",https://idraetsfonden.dk/,da,Danish,79.0,93.3,da,Danish,88.0,80.0,26.0,188.114.97.3,17.0,16.0,1.0,17.0,0.0,17.0,0.0,16.0,1.0,5.0,12.0,0.0,12.0,5.0,0.0,11.0,11.0,0.0,12.0,9.0
https://www.osterlenhus.nu/,,30,Regional / Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xn--lna100000-52a.nu,32.0,30,Computers/Software/Business,28.0,News/Newspapers,23.0,Recreation/Travel,21.0,Business/Investing,21.0,Health/Alternative,21.0,Regional/Europe,20.0,Computers/Internet/Web Design and Development,20.0,Recreation/Collecting,19.0,Business/Accounting,19.0,Regional/North America,19.0,0.0,,,1.0,,22.0,5.0,1.0,1.0,,Låna 100000:- 200000:- | Årets billigaste låneförmedlare 2022,https://xn--lna100000-52a.nu/,sv,Swedish,91.0,84.6,sv,Swedish,97.0,99.9,34.0,35.228.53.67,40084.0,36424.0,3660.0,39940.0,144.0,40084.0,0.0,40079.0,5.0,3624.0,36460.0,7230.0,32846.0,8.0,0.0,108.0,120.0,109.0,122.0,119.0
xn--lnblanco-9za.nu,31.0,30,Computers/Software/Business,28.0,News/Newspapers,21.0,Recreation/Outdoors,21.0,Recreation/Travel,21.0,Regional/Europe,20.0,Computers/Internet/Web Design and Development,20.0,Recreation/Collecting,20.0,Health/Alternative,19.0,Society/Religion and Spirituality,19.0,Regional/North America,19.0,0.0,,,1.0,,51.0,3.0,2.0,1.0,,Blancolån | Jämför räntor 2022 & Ansök om det billiga blancolånet,https://xn--lnblanco-9za.nu/,sv,Swedish,90.0,82.3,sv,Swedish,97.0,99.9,86.0,35.228.119.231,17523.0,17490.0,33.0,17401.0,122.0,17523.0,0.0,17518.0,5.0,8.0,17515.0,0.0,17515.0,8.0,0.0,107.0,120.0,108.0,122.0,119.0
https://satsafe.se,,29,Computers / Programming / Languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marwell.se,,29,"Business / Construction and
Maintenance Business 
Agriculture and Forestry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flighton.se,27.0,28,Computers/Software/Business,26.0,Business/Construction and Maintenance,24.0,Recreation/Outdoors,21.0,Computers/Internet/Web Design and Development,20.0,Recreation/Travel,20.0,Health,19.0,Regional/North America,18.0,News/Newspapers,18.0,Regional/Europe,17.0,Business/Accounting,17.0,0.0,,,0.0,,7.0,4.0,0.0,0.0,,"One moment, please...",,en,English,98.0,99.7,sv,Swedish,98.0,99.5,798.0,91.201.60.88,2713.0,2682.0,31.0,2650.0,63.0,2712.0,1.0,2688.0,25.0,44.0,2669.0,6.0,2696.0,11.0,0.0,74.0,75.0,43.0,82.0,75.0
nilssonsbyggab.se,,28,Business / Construction and Maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naprapatistockholm.nu,30.0,27,Health/Mental Health,25.0,Recreation/Travel,22.0,Computers/Internet/Web Design and Development,21.0,Health/Alternative,20.0,Regional/Europe,20.0,Business/Accounting,18.0,Recreation/Pets,18.0,Science/Social Sciences,11.0,,,,,0.0,,,1.0,,119.0,1.0,0.0,0.0,,Naprapat Stockholm 2022 I Med.Arbetarna Naprapaterna AB,https://naprapatistockholm.nu/,sv,Swedish,87.0,90.0,sv,Swedish,98.0,93.1,427.0,35.228.53.67,6662.0,6587.0,75.0,6603.0,59.0,6190.0,472.0,6650.0,12.0,527.0,6135.0,39.0,6611.0,12.0,0.0,68.0,72.0,52.0,62.0,59.0
coresec.se,,27,Computers / Consultants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekobyn.nu,,26,Regional / Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lanapengarguide.se,32.0,26,Recreation/Travel,22.0,Computers/Internet/Web Design and Development,21.0,Regional/Europe,20.0,Computers/Software/Business,20.0,Society/Religion and Spirituality,20.0,Regional/North America,19.0,Health/Alternative,19.0,Business/Accounting,18.0,Sports/Water Sports,18.0,Recreation/Outdoors,18.0,0.0,,,1.0,,34.0,6.0,2.0,1.0,,Låneguiden 2022 | Jämför lån | Låna pengar till lägst ränta,https://lanapengarguide.se/,sv,Swedish,89.0,92.3,sv,Swedish,98.0,99.8,63.0,35.228.119.231,4531.0,4475.0,56.0,4417.0,114.0,4451.0,80.0,4527.0,4.0,17.0,4514.0,18.0,4434.0,79.0,0.0,93.0,100.0,86.0,99.0,99.0
xn--tandlkareistockholm-kwb.nu,30.0,25,Recreation/Travel,23.0,Recreation/Outdoors,21.0,Health/Alternative,21.0,Regional/Europe,20.0,Business/Accounting,18.0,Recreation/Pets,18.0,Health/Mental Health,11.0,Computers/Internet/On the Web,11.0,Science/Social Sciences,11.0,Reference,11.0,0.0,,,1.0,,13864.0,2.0,2.0,2.0,,Tandläkare Stockholm 2022 | Välkommen in till vår mottagning,https://xn--tandlkareistockholm-kwb.nu/,sv,Swedish,98.0,99.9,sv,Swedish,98.0,100.0,15968.0,35.228.53.67,6396.0,6389.0,7.0,6346.0,50.0,6373.0,23.0,6393.0,3.0,290.0,6106.0,139.0,6253.0,4.0,0.0,49.0,52.0,43.0,48.0,43.0
xn--mklareistockholm-vnb.nu,28.0,25,Recreation/Outdoors,22.0,Recreation/Travel,21.0,Computers/Software/Business,21.0,Computers/Internet/Web Design and Development,20.0,Regional/Europe,19.0,Recreation/Pets,19.0,News/Newspapers,16.0,Recreation/Collecting,15.0,Health/Alternative,15.0,Regional/North America,14.0,0.0,,,1.0,,11.0,3.0,0.0,0.0,,Mäklare Stockholm | Erik Olsson Årets Mäklarfirma 2022,https://xn--mklareistockholm-vnb.nu/,sv,Swedish,85.0,100.0,sv,Swedish,96.0,98.3,23.0,35.228.53.67,156.0,139.0,17.0,105.0,51.0,140.0,16.0,146.0,10.0,31.0,125.0,14.0,140.0,2.0,0.0,36.0,41.0,35.0,41.0,38.0
xn--advokatbyrstockholm-9wb.nu,30.0,24,Recreation/Travel,22.0,Computers/Internet/Web Design and Development,21.0,Recreation/Pets,19.0,Health/Alternative,19.0,Business/Accounting,18.0,Regional/Europe,17.0,Computers/Internet,13.0,Health/Mental Health,11.0,Reference/Education,10.0,,,0.0,,,1.0,,20.0,3.0,2.0,1.0,,Advokatbyrå i Stockholm 2022 | Advokatbyrån Sörmdal AB,https://xn--advokatbyrstockholm-9wb.nu/,sv,Swedish,85.0,65.3,sv,Swedish,98.0,99.4,37.0,35.228.119.231,2469.0,2458.0,11.0,2428.0,41.0,2469.0,0.0,2437.0,32.0,12.0,2457.0,4.0,2460.0,5.0,0.0,45.0,44.0,29.0,47.0,44.0
hondenrassen.nu,28.0,24,Recreation/Pets,24.0,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,7.0,2.0,12.0,9.0,,Verksamhets Bloggen | Djupdykning i olika branscher,http://www.hondenrassen.nu/,sv,Swedish,99.0,80.0,sv,Swedish,73.0,46.8,1579.0,46.246.45.145,1644.0,1628.0,16.0,1485.0,159.0,1335.0,309.0,1614.0,30.0,1389.0,255.0,7.0,1597.0,40.0,0.0,44.0,40.0,12.0,23.0,28.0
solcellerstockholm.se,39.0,24,Recreation/Outdoors,23.0,Recreation/Pets,18.0,Regional/Europe,18.0,Health/Alternative,15.0,,,,,,,,,,,,,0.0,,,1.0,,9.0,2.0,0.0,0.0,,Solceller Stockholm | Vi installerar 2022 främsta solpaneler,https://solcellerstockholm.se/,sv,Swedish,93.0,85.7,sv,Swedish,95.0,99.9,1425.0,35.228.128.110,4258.0,3638.0,620.0,4224.0,34.0,4225.0,33.0,4235.0,23.0,1438.0,2820.0,3.0,4249.0,6.0,0.0,35.0,35.0,30.0,32.0,34.0
sangarstockholm.se,32.0,24,Recreation/Collecting,21.0,Regional/North America,20.0,Health/Alternative,19.0,Business/Accounting,19.0,Recreation/Pets,18.0,Recreation/Travel,16.0,Regional/Europe,14.0,Computers/Internet,13.0,Reference/Education,10.0,Arts/Radio,10.0,0.0,,,1.0,,102.0,1.0,0.0,0.0,,Sängar Stockholm | Sängvaruhuset SOVA | Årets Varuhus 2022,https://sangarstockholm.se/,sv,Swedish,94.0,92.3,sv,Swedish,98.0,100.0,150.0,35.228.53.67,6197.0,6189.0,8.0,6165.0,32.0,6197.0,0.0,6194.0,3.0,9.0,6188.0,2.0,6188.0,7.0,0.0,28.0,29.0,27.0,31.0,27.0
skrattgropen.se,13.0,24,Health/Alternative,24.0,Health/Mental Health,16.0,,,,,,,,,,,,,,,,,0.0,,,1.0,,4.0,1.0,4.0,4.0,,Startsida | Skrattgropen,https://www.skrattgropen.se/,en,English,98.0,50.0,sv,Swedish,88.0,100.0,8.0,194.9.94.85,13.0,10.0,3.0,7.0,6.0,11.0,2.0,13.0,0.0,10.0,3.0,6.0,7.0,0.0,0.0,7.0,8.0,3.0,6.0,2.0
swecll.se,18.0,24,Health/Alternative,24.0,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,4291.0,4.0,30.0,26.0,,Swedish CLL / Svenska KLL,https://swecll.se/,sv,Swedish,97.0,99.8,sv,Swedish,80.0,62.5,4324.0,194.9.94.85,4208.0,1723.0,2485.0,4197.0,11.0,4181.0,27.0,4207.0,1.0,4188.0,20.0,4143.0,65.0,0.0,0.0,19.0,21.0,6.0,10.0,9.0
svenskaktsnatverket.se,36.0,24,Business/Accounting,24.0,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,4329.0,3.0,17.0,13.0,,Svenska KTS Nätverket,https://www.svenskaktsnatverket.se/,sv,Swedish,98.0,99.9,sv,Swedish,87.0,95.0,7698.0,35.228.93.53,5785.0,4897.0,888.0,5779.0,6.0,5769.0,16.0,5780.0,5.0,5768.0,17.0,4265.0,1519.0,1.0,0.0,12.0,9.0,3.0,7.0,8.0
https://jhbforlag.se,,24,Arts / Visual Arts Arts / Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renoverabadrumpris.se,29.0,23,Regional/Europe,20.0,Health/Alternative,19.0,Recreation/Outdoors,18.0,Business/Accounting,18.0,Recreation/Travel,17.0,Computers/Internet/Web Design and Development,16.0,News/Newspapers,16.0,Business/Investing,16.0,Computers/Software/Business,15.0,Recreation/Pets,14.0,0.0,,,1.0,,6.0,2.0,0.0,0.0,,Renovera Badrum Pris | 2022 | Bygg & Badrumspartner AB,https://renoverabadrumpris.se/,sv,Swedish,85.0,80.0,sv,Swedish,98.0,100.0,11.0,35.228.128.110,6111.0,6105.0,6.0,6084.0,27.0,6104.0,7.0,6110.0,1.0,7.0,6104.0,4.0,6106.0,1.0,0.0,27.0,28.0,24.0,27.0,28.0
xn--begravningsbyrerstockholm-pfc.se,27.0,23,Recreation/Outdoors,22.0,Recreation/Pets,20.0,Regional/Europe,19.0,Society/Religion and Spirituality,18.0,Sports/Equestrian,16.0,Computers/Internet,13.0,Reference,11.0,Science/Social Sciences,11.0,Computers/Internet/Web Design and Development,10.0,,,0.0,,,1.0,,23.0,4.0,0.0,0.0,,Begravningsbyrå Stockholm 2022 | Cardells Begravningsbyrå,https://xn--begravningsbyrerstockholm-pfc.se/,sv,Swedish,90.0,90.9,sv,Swedish,90.0,99.7,77.0,35.228.119.231,2363.0,2277.0,86.0,2306.0,57.0,263.0,2100.0,2352.0,11.0,300.0,2063.0,15.0,2347.0,1.0,0.0,32.0,35.0,30.0,33.0,33.0
ftxsystem.se,26.0,23,Computers/Internet/Web Design and Development,20.0,Health/Alternative,19.0,Society/Religion and Spirituality,19.0,Regional/Europe,18.0,Business/Accounting,18.0,Recreation/Pets,18.0,Recreation/Travel,16.0,Science/Social Sciences,11.0,Reference,11.0,,,0.0,,,1.0,,9.0,3.0,2.0,2.0,,FTX SYSTEM Ventus Norden 2022 | Proffs inom FTX-Ventilation,https://ftxsystem.se/,sv,Swedish,99.0,55.5,sv,Swedish,98.0,99.9,19.0,35.228.128.110,10106.0,10101.0,5.0,10072.0,34.0,10105.0,1.0,10105.0,1.0,7.0,10099.0,4.0,10101.0,1.0,0.0,27.0,29.0,26.0,29.0,29.0
stmaria.se,30.0,22,Society/Religion and Spirituality,22.0,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,3009.0,1.0,0.0,0.0,,ST Maria – En till WordPress-webbplats,https://www.stmaria.se/,sv,Swedish,97.0,100.0,ro,Romanian/Moldavian/Moldovan,76.0,48.6,6007.0,35.228.119.231,5921.0,4625.0,1296.0,5907.0,14.0,5902.0,19.0,5914.0,7.0,5901.0,20.0,2928.0,2993.0,0.0,0.0,22.0,20.0,6.0,12.0,15.0
albackenssnickeri.se,18.0,22,Regional/Europe,22.0,World/Svenska,17.0,Business/Construction and Maintenance,12.0,,,,,,,,,,,,,,,0.0,,,1.0,,18.0,1.0,2.0,1.0,,Albäckens Snickeri,https://www.albackenssnickeri.se/,en,English,86.0,50.0,sv,Swedish,94.0,99.4,65.0,35.228.53.67,7751.0,6631.0,1120.0,7739.0,12.0,95.0,7656.0,7745.0,6.0,7694.0,57.0,42.0,133.0,7576.0,0.0,17.0,14.0,5.0,5.0,9.0
fiskevatten.org,,22,"regional, pets, business",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gefleboulecenter.se,17.0,22,Recreation/Collecting,22.0,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,9.0,1.0,0.0,0.0,,Startsida | Gefle Boulecenter,https://www.gefleboulecenter.se/,sv,Swedish,99.0,100.0,sv,Swedish,86.0,60.0,18.0,188.114.248.15,51.0,48.0,3.0,45.0,6.0,24.0,27.0,45.0,6.0,40.0,11.0,10.0,40.0,1.0,0.0,18.0,15.0,4.0,7.0,9.0
xn--sttvgsbehandlingstockholm-ffc07b.se,25.0,22,Computers/Internet/Web Design and Development,21.0,Health/Alternative,18.0,Recreation/Pets,18.0,Recreation/Travel,18.0,Health/Mental Health,18.0,Regional/Europe,16.0,Business/Accounting,12.0,,,,,,,0.0,,,1.0,,9.0,3.0,0.0,0.0,,Stötvågsbehandling Stockholm 2022 | Med.Arbetarna Naprapaterna AB,https://xn--sttvgsbehandlingstockholm-ffc07b.se/,sv,Swedish,86.0,100.0,sv,Swedish,97.0,99.8,12.0,35.228.53.67,4109.0,4101.0,8.0,4091.0,18.0,4099.0,10.0,4107.0,2.0,14.0,4095.0,2.0,4099.0,8.0,0.0,18.0,18.0,14.0,14.0,13.0
webestilo.com,,22,Computers / Programming / Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xn--advokatbyrmalm-uib0z.com,30.0,22,Business/Accounting,19.0,Regional/North America,19.0,Health/Alternative,19.0,Society/Religion and Spirituality,18.0,Recreation/Pets,15.0,Computers/Internet,13.0,Recreation/Travel,13.0,Computers/Internet/Web Design and Development,12.0,Health/Mental Health,11.0,Regional/Europe,10.0,0.0,,,1.0,,9.0,6.0,2.0,1.0,,Advokatbyrå Malmö ⚖ | Advokatfirman Lege AB | Jurist 2022,https://xn--advokatbyrmalm-uib0z.com/,sv,Swedish,91.0,91.6,sv,Swedish,98.0,99.9,15.0,35.228.119.231,4213.0,4211.0,2.0,4186.0,27.0,4213.0,0.0,4212.0,1.0,2.0,4211.0,0.0,4213.0,0.0,0.0,30.0,30.0,26.0,31.0,30.0
falucc.se,13.0,21,Sports/Water Sports,20.0,Sports/Winter Sports,19.0,,,,,,,,,,,,,,,,,0.0,,,1.0,,3.0,1.0,6.0,4.0,,Falu CC – Curling – IdrottOnline Klubb,https://www.falucc.se/,sv,Swedish,97.0,100.0,sv,Swedish,82.0,68.7,201.0,94.46.127.171,24.0,16.0,8.0,18.0,6.0,14.0,10.0,24.0,0.0,15.0,9.0,7.0,16.0,1.0,0.0,11.0,12.0,3.0,7.0,5.0
asbergveenhuis.se,20.0,21,Shopping/Music,21.0,Arts/Performing Arts,11.0,Society/Religion and Spirituality,9.0,,,,,,,,,,,,,,,0.0,,,0.0,,2.0,0.0,10.0,1.0,,Parkerad hos Loopia,,sv,Swedish,91.0,100.0,sv,Swedish,84.0,99.6,2.0,194.9.94.86,3291.0,3280.0,11.0,3289.0,2.0,3291.0,0.0,3291.0,0.0,0.0,3291.0,0.0,3291.0,0.0,0.0,3.0,5.0,2.0,5.0,5.0
xn--samlalnochkrediter-9tb.com,25.0,21,Regional/Europe,18.0,Health/Alternative,18.0,Recreation/Travel,17.0,Sports/Water Sports,17.0,Recreation/Outdoors,17.0,Computers/Internet/Web Design and Development,16.0,Recreation/Aviation,15.0,Recreation/Pets,14.0,Computers/Software/Business,12.0,Health/Mental Health,11.0,0.0,,,0.0,,16.0,6.0,2.0,1.0,,Samla lån och krediter 2022 | Bästa lånevillkoren & låga räntor,,sv,Swedish,92.0,94.4,sv,Swedish,98.0,100.0,19.0,35.228.132.196,944.0,941.0,3.0,889.0,55.0,944.0,0.0,944.0,0.0,0.0,944.0,0.0,942.0,2.0,0.0,50.0,53.0,52.0,53.0,53.0
advokatkalmar.nu,22.0,21,Recreation/Pets,21.0,Reference/Education,10.0,,,,,,,,,,,,,,,,,0.0,,,1.0,,9.0,4.0,1.0,1.0,,Advokatbyrå Kalmar/Västervik - Juristfirman erbjuder fri rådgivning,https://advokatkalmar.nu/,sv,Swedish,99.0,75.0,sv,Swedish,95.0,100.0,14.0,35.228.53.67,44.0,41.0,3.0,31.0,13.0,44.0,0.0,42.0,2.0,5.0,39.0,0.0,42.0,2.0,0.0,10.0,10.0,6.0,11.0,10.0
xn--stockholmbergvrme-3qb.se,27.0,21,Recreation/Pets,19.0,Society/Religion and Spirituality,19.0,Health/Alternative,15.0,Computers/Internet,13.0,Reference/Education,10.0,Business/Arts and Entertainment,9.0,Computers/Hardware,9.0,Sports/Equestrian,9.0,,,,,0.0,,,1.0,,12.0,1.0,0.0,0.0,,Bergvärme Stockholm | 2022 | Energipartner Sverige AB,https://xn--stockholmbergvrme-3qb.se/,sv,Swedish,89.0,80.0,sv,Swedish,97.0,98.0,17.0,35.228.119.231,100.0,96.0,4.0,81.0,19.0,100.0,0.0,86.0,14.0,2.0,98.0,0.0,91.0,9.0,0.0,25.0,22.0,18.0,26.0,25.0
xn--advokatstermalm-ftb.se,14.0,21,Recreation/Outdoors,21.0,Recreation/Pets,12.0,,,,,,,,,,,,,,,,,0.0,,,1.0,,5.0,2.0,0.0,0.0,,Advokatbyrå Östermalm | Välkommen till Advokatbyrån Sörmdal AB,https://xn--advokatstermalm-ftb.se/,sv,Swedish,99.0,100.0,sv,Swedish,97.0,100.0,11.0,35.228.128.110,92.0,89.0,3.0,89.0,3.0,92.0,0.0,92.0,0.0,1.0,91.0,0.0,90.0,2.0,0.0,3.0,4.0,2.0,4.0,4.0
tandlakareostermalm.nu,21.0,21,Recreation/Outdoors,20.0,Health/Alternative,17.0,Business/Accounting,17.0,Recreation/Pets,16.0,Regional/Europe,16.0,Health/Mental Health,11.0,Reference/Education,9.0,,,,,,,0.0,,,0.0,,-1.0,-1.0,-1.0,-1.0,,,,,,,,sv,Swedish,98.0,100.0,14.0,,2104.0,2102.0,2.0,2092.0,12.0,2104.0,0.0,2102.0,2.0,7.0,2097.0,0.0,2102.0,2.0,0.0,14.0,14.0,12.0,15.0,11.0
